Model Auta,Verze modelu,Cena (Kc),Rok registrace,Najezd (km),Stav,Vykon (koni),Objem motoru (cm³),Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Metaliza,Adresa prodejce,Nazev prodejce
Řada 3,"318i, Kůže, vyhř. sedadla.",59000,2001-01-01,244300,neuvedeno,118,1895,benzin,manuální převodovka,kupé,2,5,černá,True,K Solné stezce Říčany u Prahy 25101,Autobazar Cars s.r.o.
Řada 5,520i 125kW !,59900,2000-01-01,275001,neuvedeno,170,2171,benzin,manuální převodovka,kombi,5,5,šedá,True,Malešická 47 Praha 3 Praha 3 Žižkov 13000,Autobazar Duo
Řada 3,"2,0 320d, Xenon, Digi Klima",56900,2005-01-01,399400,neuvedeno,150,1995,nafta,manuální převodovka,kombi,5,5,černá,False,Kvítkovická 1527 Napajedla 76361,AUTOCAR - TICHÝ s.r.o.
Řada 5,525 D TOURING AT,4200,2002-01-01,315047,neuvedeno,163,2497,nafta,aut. převodovka,neuvedeno,,,modrá,True,K Raškovci 1360/V Kolín 28002,"Car Aukce, spol. s r.o."
X5,"3.0d, 4X4, Automat, po STK",60000,2004-01-01,241700,Dobrý,218,3000,nafta,aut. převodovka,SUV,5,5,zelená,False,Dopraváků 874/15 Praha 8 - Čimice 18400,AAA Auto
Řada 1,118i / 105 kW / MANUÁL,59900,2007-01-01,155500,neuvedeno,143,1995,benzin,manuální převodovka,hatchback,5,5,modrá,True,Libeňský ostrov Praha 8 18000,RPD Auto CZ a.s.
Řada 3,316 TI COMPACT 85 KW,40000,2002-01-01,215000,Velmi dobrý,,1796,benzin,manuální převodovka,kupé,3,5,černá,True,Líšný 2.díl 6 Líšný 46822,AUTORENT s.r.o.
Řada 3,"1.8 VETERÁN Vada motoru, koroz",29900,1989-01-01,235000,Uspokojivý,113,1796,benzin,manuální převodovka,kombi,5,5,červená,False,Československé Armády 71/44 Jablonec nad Nisou 46605,AUTOHOFI s.r.o.
Řada 3,318D Touring,39900,2007-01-01,559741,Uspokojivý,122,1995,nafta,manuální převodovka,kombi,5,5,černá,False,Weilova 1144/2 Praha 10 - Hostivař 10205,Zdeněk KAPIČKA - auto moto
Řada 3,320d poškozené BEZ MOTORU,24999,2011-01-01,281401,neuvedeno,177,1995,nafta,manuální převodovka,sedan,4,5,černá,True,V Zátiší 71 Průhonice - Rozkoš 25242,L72 s.r.o.
Řada 3,"2,0 320i automat",35000,1993-01-01,204520,Dobrý,150,1991,benzin,aut. převodovka,sedan,,,bílá,False,Vídeňská 343 Vestec u Prahy 25242,Auto Rupexim s.r.o.
Řada 1,"116i, nová STK, jezdí výborně",50000,2007-01-01,198976,Dobrý,116,1600,benzin,manuální převodovka,hatchback,5,5,modrá,False,Dopraváků 874/15 Praha 8 - Čimice 18400,AAA Auto
Řada 5,"528i automat, EKO uhrazeno!",58000,1998-01-01,350000,Dobrý,193,2793,benzin,aut. převodovka,sedan,4,5,světle zelená,False,Dolní Vinice Kly u Mělníka 27741,CM car Červený Michal
Řada 3,"E46 318i 140PS, Manual, Alu",44000,2005-01-01,230470,Dobrý,143,1995,benzin,manuální převodovka,kombi,5,5,světle šedá,False,Kolínská 244 Uhlířské Janovice 28504,Autobazar Uhlířské Janovice
Řada 5,"2,2 i V6 E39 520i TOURING,",49900,2001-01-01,310246,Velmi dobrý,170,2171,benzin,manuální převodovka,kombi,5,5,stříbrná,True,Československé Armády 71/44 Jablonec nad Nisou 46605,AUTOHOFI s.r.o.
Řada 1,"116i, nová STK, plně pojízdný",60000,2007-01-01,248289,Dobrý,116,1600,benzin,manuální převodovka,hatchback,5,5,šedá,False,Dopraváků 874/15 Praha 8 - Čimice 18400,AAA Auto
Řada 3,"320 i, po STK, jezdí výborně",45000,2005-01-01,276485,Dobrý,150,2000,benzin,manuální převodovka,sedan,5,5,černá,False,Dopraváků 874/15 Praha 8 - Čimice 18400,AAA Auto
Řada 3,"318 td, nová STK",50000,2003-01-01,344491,Dobrý,116,2000,nafta,manuální převodovka,hatchback,3,5,zelená,False,Dopraváků 874/15 Praha 8 - Čimice 18400,AAA Auto
Řada 3,"2,0 318i Touring",59000,2005-01-01,303000,Dobrý,143,1995,benzin,manuální převodovka,kombi,5,5,světle šedá,True,Jáchymovská 350/81 Karlovy Vary 36004,autohlavaty.cz
