Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce,Nazev prodejce
BMW XM,Bowers & Wilkins,3 899 000 Kč,6/2023,20180km,neuvedeno,Nové vozidlo,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,červená,Řípská 5c Brno - Slatina 62700,"Renocar, a.s. - Brno"
BMW XM,N/A,3 799 000 Kč,5/2023,59000km,5/2027,Nové vozidlo,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,šedá metalíza,Tř.T.Bati 400 Zlín 76001,Synot Auto Zlín - BMW se zárukou stavu a původu
BMW XM,50e,3 079 000 Kč,5/2024,13000km,5/2028,Nové vozidlo,350 kW / 476 PS,2 998 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá metalíza,Tř.T.Bati 400 Zlín 76001,Synot Auto Zlín - BMW se zárukou stavu a původu
BMW XM,N/A,4 430 000 Kč,N/A,neuvedeno,neuvedeno,Nové vozidlo,480 kW / 653 PS,4 395 cm³,hybridní - benzin,neuvedeno,SUV,5 dveří,5 míst,modrá metalíza,Obchodní 622 Liberec 11 46001,"CarTec Liberec, s.r.o."
BMW XM,50e,3 718 899 Kč,11/2024,15000km,neuvedeno,neuvedeno,350 kW / 476 PS,2 998 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,žlutá,Bytčická 82 Žilina 01001,MD-Bavaria Žilina s.r.o.
BMW XM,Label 1 of 500,4 900 000 Kč,2024,4870km,neuvedeno,Perfektní,550 kW / 748 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,černá,Průběžná 76 Praha 10 10000,CarTec Praha s. r. o.
BMW XM,50e,3 049 000 Kč,N/A,neuvedeno,neuvedeno,Nové vozidlo,350 kW / 476 PS,2 998 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá metalíza,Obchodní 622 Liberec 11 46001,"CarTec Liberec, s.r.o."
BMW XM,"LASER, M-ADAPTIVE, TAŽNÉ, BOWE",3 449 900 Kč,7/2023,5970km,7/2027,Perfektní,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,černá metalíza,Kamýcká 40/7 Praha 6 16000,AUTO Z DOVOZU - Kvalitní zánovní vozy se zárukou
BMW XM,N/A,2 999 000 Kč,2023,60000km,neuvedeno,Perfektní,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,černá metalíza,Obchodní 622 Liberec 11 46001,"CarTec Liberec, s.r.o."
BMW XM,Label Red,3 899 000 Kč,12/2023,38km,neuvedeno,Nové vozidlo,550 kW / 748 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,neuvedeno,Jeremiášova 1127/5 Praha 5 - Stodůlky 15500,"BMW | MINI invelt Praha | Plzeň, nové vozy"
BMW XM,N/A,3 385 000 Kč,2023,25000km,neuvedeno,Perfektní,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,šedá metalíza,Vítkovická 3246/1A Ostrava-Moravská Ostrava 70200,CarTec Ostrava s.r.o.
BMW XM,INDIVIDUAL,4 495 000 Kč,2024,neuvedeno,neuvedeno,Nové vozidlo,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,modrá,K Vápence 2925 Pardubice V - Zelené Předměstí 53002,KOPECKÝ - BMW servis
