BMW Řada 3,"318 td, nová STK",50 000 Kč,2003,344491km,11/2025,Dobrý,85 kW / 116 PS,2 000 cm³,nafta,manuální převodovka,hatchback,3 dveře,5 míst,zelená
BMW Řada 3,"2,0 320i automat",35 000 Kč,3/1993,204520km,9/2019,Dobrý,110 kW / 150 PS,1 991 cm³,benzin,aut. převodovka,sedan,neuvedeno,neuvedeno,bílá
BMW Řada 3,"E46 318i 140PS, Manual, Alu",49 900 Kč,2005,230470km,10/2025,Dobrý,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,světle šedá
BMW Řada 3,"3,0 330i Touring",59 000 Kč,5/2003,349000km,11/2026,Velmi dobrý,170 kW / 231 PS,2 979 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,modrá
BMW Řada 3,"320i Touring 2,2",59 500 Kč,3/2005,160500km,11/2026,Velmi dobrý,125 kW / 170 PS,2 171 cm³,benzin,neuvedeno,kombi,5 dveří,5 míst,černá metalíza
BMW Řada 3,"2,0 Touring 318 d",59 000 Kč,7/2006,291268km,4/2025,Dobrý,90 kW / 122 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,černá
BMW Řada 3,316 1.6 i,45 000 Kč,1/1997,165939km,1/2027,Dobrý,75 kW / 102 PS,1 596 cm³,benzin,manuální převodovka,liftback,3 dveře,5 míst,bílá
BMW Řada 5,525 D TOURING AT,4 200 Kč,2002,315047km,1/2019,neuvedeno,120 kW / 163 PS,2 497 cm³,nafta,aut. převodovka,neuvedeno,neuvedeno,neuvedeno,modrá metalíza
BMW Řada 5,"2,2 i V6 E39 520i TOURING,",49 900 Kč,7/2001,310246km,neuvedeno,Velmi dobrý,125 kW / 170 PS,2 171 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,stříbrná metalíza
BMW Řada 3,318D Touring,39 900 Kč,8/2007,559741km,1/2025,Uspokojivý,90 kW / 122 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,černá
BMW Řada 3,"3.0 D, AC, park.asist",60 000 Kč,2004,311504km,12/2025,neuvedeno,150 kW / 204 PS,2 993 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,šedá metalíza
BMW Řada 3,"1.8 VETERÁN Vada motoru, koroz",29 900 Kč,12/1989,235000km,neuvedeno,Uspokojivý,83 kW / 113 PS,1 796 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,červená
BMW X3,"2.0d, 4X4, nová STK",50 000 Kč,2005,390707km,8/2025,Dobrý,110 kW / 150 PS,2 000 cm³,nafta,manuální převodovka,SUV,5 dveří,4 místa,černá
BMW Řada 3,"2,0 320d, Xenon, Digi Klima",56 900 Kč,1/2005,399400km,2/2026,neuvedeno,110 kW / 150 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,černá
